Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
987.4153495,1260.56535,1.989760102,6.160592781,10629,5341.85,867.1,1343.654226
987.4153495,1260.56535,2.01495535,6.150689127,12139.3,6024.6,979.5,1332.766722
987.4153495,1260.56535,2.021357396,6.268935005,12029.3,5951.1,949.3,1330.038183
987.4153495,1260.56535,2.000917285,6.162724965,10688.6,5341.85,866.8,1338.802977
987.4153495,1260.56535,2.016128189,6.126880802,11575.6,5741.5,937.1,1332.265738
987.4153495,1260.56535,1.955055847,6.04331273,13189.1,6746.15,1116.3,1359.066291
987.4153495,1260.56535,1.993411894,6.240181084,10166.6,5100.1,817.3,1342.061044
987.4153495,1260.56535,2.020456903,6.212209656,10321.1,5108.3,822.3,1330.421068
987.4153495,1260.56535,2.049660362,6.383589059,9806.6,4784.5,749.5,1318.14983
1063.199997,1336.349997,1.879564733,5.86423475,10968.2,5835.5,995.1,1394.493698
1063.199997,1336.349997,1.904616084,5.919671315,11319.8,5943.35,1004,1382.423054
1063.199997,1336.349997,1.888158979,5.961120988,12028.8,6370.65,1068.7,1390.315065
1063.199997,1336.349997,1.88147635,5.962647214,12764.5,6784.3,1137.8,1393.560767
1063.199997,1336.349997,1.843211456,5.794027364,12176.9,6606.35,1140.2,1412.63232
1063.199997,1336.349997,1.916341756,5.969420249,12213.9,6373.55,1067.7,1376.884645
1063.199997,1336.349997,1.832454519,5.73907767,13431.8,7329.95,1277.2,1418.15177
1063.199997,1336.349997,1.856088084,5.86809909,10771.9,5803.55,989,1406.118893
1063.199997,1336.349997,1.868655848,5.886153072,10922.2,5844.95,993,1399.856456
1063.199997,1336.349997,1.875021048,5.81923672,10578.4,5641.75,969.5,1396.719262
1063.199997,1336.349997,1.932556507,6.01909908,10871.5,5625.45,934.6,1369.336816
1063.199997,1336.349997,1.913428584,5.966570516,11082.1,5791.75,970.7,1378.254222
1063.199997,1336.349997,1.901248873,5.862993018,11813.6,6213.6,1059.8,1384.026338
1063.199997,1336.349997,1.855614973,5.873824312,12283.8,6619.8,1127,1406.356446
1063.199997,1336.349997,1.86228182,5.859954011,12339.2,6625.85,1130.7,1403.021127
1063.199997,1336.349997,1.907210982,5.849985993,11948.2,6264.75,1070.9,1381.19145
1063.199997,1336.349997,1.814516356,5.66310927,12902.3,7110.6,1255.6,1427.521417
1063.199997,1336.349997,1.900373773,6.016603615,10880.4,5725.4,951.6,1384.443967
1063.199997,1336.349997,1.898483172,5.917053304,10895.3,5738.95,969.9,1385.34758
1063.199997,1336.349997,1.915050886,5.927160893,10518.8,5492.7,926.7,1377.491008
1129.91298,1403.06298,1.762397771,5.617994547,9805.1,5563.5,990.3,1456.023651
1129.91298,1403.06298,1.7986059,5.632396374,9947.1,5530.45,981.9,1436.013373
1129.91298,1403.06298,1.819203019,5.843899949,10413.3,5724.1,979.5,1425.052959
1129.91298,1403.06298,1.766171049,5.607223989,10898.6,6170.75,1100.5,1453.891644
1129.91298,1403.06298,1.779999215,5.683522271,11333.7,6367.25,1120.3,1446.173078
1129.91298,1403.06298,1.822172008,5.644049913,11209,6151.45,1089.9,1423.49677
1129.91298,1403.06298,1.760166778,5.549082796,11820.4,6715.5,1210.2,1457.289548
1129.91298,1403.06298,1.78425894,5.764773559,9834.3,5511.7,956.1,1443.824702
1129.91298,1403.06298,1.788030955,5.605753396,9738.6,5446.55,971.6,1441.756458
1129.91298,1403.06298,1.789230057,5.662298283,9856.6,5508.85,972.9,1441.101169
1129.91298,1403.06298,1.807207094,5.662520309,10077.8,5576.45,984.8,1431.400873
1129.91298,1403.06298,1.813140227,5.749660006,9965.2,5496.1,955.9,1428.249028
1129.91298,1403.06298,1.813450768,5.698890246,10150.7,5597.45,982.2,1428.084722
1129.91298,1403.06298,1.785049814,5.640708556,10544.2,5906.95,1047.2,1443.390184
1129.91298,1403.06298,1.786920933,5.653964938,11122.6,6224.45,1100.9,1442.364008
1129.91298,1403.06298,1.804573158,5.598378675,11029.1,6111.75,1091.7,1432.807861
1129.91298,1403.06298,1.754699297,5.518495531,11701.3,6668.55,1208.4,1460.408805
1129.91298,1403.06298,1.798651553,5.727377946,9790.6,5443.3,950.4,1435.988753
1129.91298,1403.06298,1.798757628,5.692647212,9859.8,5481.45,962.9,1435.931556
1129.91298,1403.06298,1.811289581,5.765479541,9647.2,5326.15,923.8,1429.22956
1187.516667,1460.666667,1.721467928,5.466440289,10669.4,6197.85,1133.8,1479.907965
1187.516667,1460.666667,1.730705435,5.483681113,10642.8,6149.4,1121.4,1474.391634
1187.516667,1460.666667,1.695601438,5.433618012,10680,6298.65,1159.2,1495.773241
1187.516667,1460.666667,1.721514578,5.519561946,11366.3,6602.5,1196.2,1479.879915
1187.516667,1460.666667,1.697640212,5.456036288,11945.7,7036.65,1289.7,1494.499568
1187.516667,1460.666667,1.724814273,5.444873341,11678.2,6770.7,1243.5,1477.900826
1187.516667,1460.666667,1.682697268,5.353613019,12067.8,7171.7,1339.6,1503.930623
1187.516667,1460.666667,1.719167626,5.452857906,10529.3,6124.65,1123.2,1481.293565
1187.516667,1460.666667,1.70087489,5.415448387,10332.9,6075.05,1121.8,1492.487101
