Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
1168.064441,1441.214441,1.957473017,6.04003543,13348.4,6819.2,1129,1468.324962
1168.064441,1441.214441,1.993284345,6.204408213,12288,6164.7,993.6,1444.47245
1168.064441,1441.214441,1.994403781,6.237485925,12152.7,6093.4,976.9,1443.73853
1168.064441,1441.214441,2.028378302,6.016130402,14373.9,7086.4,1177.9,1421.791846
1168.064441,1441.214441,2.014131996,6.066702241,13739.2,6821.4,1124.4,1430.918008
1168.064441,1441.214441,1.999336478,6.091468237,13860.8,6932.7,1138.1,1440.512871
1168.064441,1441.214441,2.002679498,6.130530778,13901.8,6941.6,1132.3,1438.334414
1168.064441,1441.214441,2.003790319,6.125447371,13375.1,6674.9,1089.7,1437.611919
1258.215444,1531.365444,1.896173942,5.977833753,2250,1186.6,198.5,1510.917695
1258.215444,1531.365444,1.863949531,5.97866005,2245.5,1204.7,201.5,1534.264986
1258.215444,1531.365444,1.843432142,5.842105263,2537.3,1376.4,235.6,1549.498078
1258.215444,1531.365444,1.835310385,5.822457627,2521.9,1374.1,236,1555.610335
1258.215444,1531.365444,1.848863465,5.8865751,2456.4,1328.6,225.7,1545.436888
1258.215444,1531.365444,1.837827515,5.910158014,2405.9,1309.1,221.5,1553.710918
1258.215444,1531.365444,1.82946794,5.911290323,2279.7,1246.1,210.8,1560.036779
1258.215444,1531.365444,1.819381169,6.051694428,1916.9,1053.6,174.1,1567.738065
1258.215444,1531.365444,1.819457234,5.916987179,3358.9,1846.1,312,1567.679706
1258.215444,1531.365444,1.838689128,5.921207041,2597.7,1412.8,238.6,1553.0618
1318.695596,1591.845596,1.787453828,5.814177814,11420.4,6389.2,1098.9,1592.626467
1318.695596,1591.845596,1.788272729,5.737479254,10509.5,5876.9,1024.3,1591.978085
1318.695596,1591.845596,1.798582398,5.7817448,10048.5,5586.9,966.3,1583.861039
1318.695596,1591.845596,1.808001698,5.814806506,9372.5,5183.9,891.5,1576.518109
1318.695596,1591.845596,1.788040678,5.848136577,9371.3,5241.1,896.2,1592.161761
1318.695596,1591.845596,1.805348605,5.863015055,10686.4,5919.3,1009.6,1578.579388
1318.695596,1591.845596,1.812263512,5.760064719,10968,6052.1,1050.7,1573.218287
1318.695596,1591.845596,1.80912276,5.786918803,10740.4,5936.8,1025.9,1575.648747
1318.695596,1591.845596,1.799982926,5.890576285,10542.5,5857,994.3,1582.764861
1318.695596,1591.845596,1.838912528,5.801004806,9767.2,5311.4,915.6,1552.893583
1403.120357,1676.270357,1.695716561,5.474835551,6068.8,3578.9,653.7,1668.950434
1403.120357,1676.270357,1.687794688,5.526966848,5655.8,3351,606.3,1675.914304
1403.120357,1676.270357,1.680256028,5.632322819,4620.2,2749.7,488.2,1682.601592
1403.120357,1676.270357,1.734587215,5.322861469,4878.7,2812.6,528.4,1635.677995
1403.120357,1676.270357,1.69915736,5.538148148,5081.5,2990.6,540,1665.945624
1403.120357,1676.270357,1.715021008,5.617623918,4898.1,2856,508.4,1652.244221
1403.120357,1676.270357,1.749516302,5.46183953,4882.9,2791,511,1623.274967
1403.120357,1676.270357,1.653627654,5.62899729,6869.5,4154.2,738,1706.711334
1403.120357,1676.270357,1.659810321,5.657839721,6738,4059.5,717.5,1701.043846
1403.120357,1676.270357,1.712370953,5.459727782,5838.5,3409.6,624.5,1654.515923
1503.112704,1776.262704,1.5711782,5.455891425,13895.5,8844,1621,1786.741369
1503.112704,1776.262704,1.597905427,5.398747941,13091,8192.6,1517.5,1759.838592
1503.112704,1776.262704,1.561370069,5.442628104,13516,8656.5,1590.5,1796.86531
1503.112704,1776.262704,1.564861354,5.441610326,13854.5,8853.5,1627,1793.245657
1503.112704,1776.262704,1.593713696,5.207017072,12346.5,7747,1487.8,1763.993563
1503.112704,1776.262704,1.599215071,5.263157895,10187,6370,1210.3,1758.54521
1503.112704,1776.262704,1.591191223,5.225880075,12023.2,7556.1,1445.9,1766.505227
1503.112704,1776.262704,1.591796989,5.177125658,10952.2,6880.4,1329,1765.901277
